k,averageTime
2,673318
4,676938
6,673035
8,673057
10,664647
12,672602
14,681293
16,672193
18,683973
20,686866
22,657998
24,673373
26,657049
28,643999
30,680213
32,685616
34,671785
36,664210
38,667276
40,685779
42,670416
44,656037
46,693606
48,684524
50,673195
52,679204
54,664585
56,660330
58,681208
60,658439
62,671193
64,706325
66,660792
68,658173
70,667406
72,663413
74,641026
76,684404
78,689298
80,656000
82,672843
84,667323
86,661383
88,674311
90,641792
92,647311
94,672190
96,665579
98,660719
100,672113
