k,averageTime
2,230284
4,226954
6,229741
8,229813
10,229941
12,230642
14,227086
16,236242
18,226923
20,231326
22,228462
24,227585
26,230105
28,228885
30,228539
32,222075
34,227998
36,230934
38,231281
40,230377
42,232941
44,228606
46,232313
48,230814
50,231766
52,231174
54,236612
56,233161
58,235122
60,228469
62,264769
64,230523
66,226492
68,232279
70,262841
72,230767
74,224762
76,227503
78,230864
80,264618
82,234191
84,225417
86,234099
88,231075
90,245501
92,232030
94,233256
96,225880
98,225285
100,231437
