k,averageTime
2,53462
4,100767
6,101638
8,135154
10,136989
12,136952
14,148406
16,172964
18,180624
20,181679
22,189769
24,189487
26,193194
28,192584
30,197966
32,230776
34,230739
36,230671
38,234921
40,232977
42,235161
44,242036
46,244580
48,247088
50,254513
52,255634
54,259231
56,257510
58,257361
60,259888
62,262867
64,290737
66,290882
68,294007
70,292856
72,297494
74,305796
76,306968
78,301187
80,301491
82,310299
84,306198
86,310286
88,312435
90,312847
92,320205
94,314070
96,324251
98,321371
100,320834
